Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T332,High,California,Data Leak,Vishing,Marketing,On Prem Server,2021-07-07 18:36:33,2021-07-07 18:37:07,2021-07-14 11:47:29,Aleena,Excellent (5),Resolved,,Personal Call
T333,High,Minnesota,Security Gap,Obsolete Software,Legal,On Prem Cloud,2021-07-07 21:39:09,2021-07-07 21:43:55,2021-07-09 19:51:03,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal
T334,Medium,Hawaii,Data Privacy,GDPR,IT,On Prem Cloud,2021-07-08 01:39:57,2021-07-08 01:39:57,2021-07-08 01:39:57,Michael,Excellent (5),Advised for a risk assessment,,Personal Call
T335,Medium,District of Columbia,Cyber Consultation,Database Security,Legal,On Prem Server,2021-07-08 17:26:41,2021-07-08 18:56:18,2021-07-19 10:54:48,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T336,Low,Florida,Security Gap,Unauthorized software,Legal,Vendor Cloud,2021-07-09 11:48:48,2021-07-09 11:49:10,2021-07-09 11:50:17,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T337,Low,Florida,Data Leak,Insider Threat,Legal,On Prem Server,2021-07-09 21:08:17,2021-07-09 21:34:09,2021-07-19 14:34:04,Bob,Excellent (5),Resolved,,Mail
T338,High,Virginia,Cyber Security Breach,Firewall,Finance,On Prem Server,2021-07-09 21:31:02,2021-07-09 21:35:14,2021-07-21 15:12:13,Bob,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call
T339,High,Tennessee,Security Gap,Obsolete Software,IT,On Prem Server,2021-07-10 00:33:44,2021-07-10 00:41:22,2021-07-24 01:14:34,Charlotte,Good (4),Resolved,,Personal Call
T34,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,2021-01-21 18:18:12,2021-01-21 18:31:29,2021-06-09 12:11:32,Robbin,Excellent (5),Resolved,,Ticket Portal
T340,Low,District of Columbia,Data Privacy,GDPR,Marketing,Vendor Cloud,2021-07-12 14:57:30,2021-07-12 15:24:08,2021-07-19 10:03:20,Charles,Unsatisfactory (2),Resolved,,Ticket Portal
T341,Medium,New York,Cyber Consultation,Access Management,Marketing,On Prem Server,2021-07-13 23:18:15,2021-07-13 23:32:58,2021-07-15 17:54:36,Sean,Excellent (5),Advised for a risk assessment,,Mail
T342,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Server,2021-07-14 12:52:50,2021-07-14 12:54:05,2021-07-14 12:55:55,Charles,Excellent (5),Resolved,,Personal Call
T343,Low,North Carolina,Data Privacy,PCI-DSS,IT,On Prem Server,2021-07-14 21:37:35,2021-07-16 18:04:54,2021-07-16 18:04:54,Charlotte,Excellent (5),Recommended Threat Assessment,,Mail
T344,High,Indiana,Cyber Consultation,Application Offboarding,Finance,Vendor Cloud,2021-07-15 15:34:49,2021-07-15 15:36:51,2021-07-21 16:54:18,Kareema,Good (4),Resolved,,Mail
T345,Low,Colorado,Security Gap,Obsolete Software,HR,Vendor Cloud,2021-07-16 16:02:12,2021-07-16 16:04:13,2021-07-22 22:31:09,Aleena,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T346,Medium,California,Data Privacy,PCI-DSS,Manufacturing,On Prem Server,2021-07-16 16:03:39,2021-07-16 16:04:31,2021-07-22 22:26:56,Aleena,Excellent (5),Advised for a risk assessment,,Ticket Portal
T347,Medium,New Hampshire,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,2021-07-16 20:04:24,2021-07-18 16:50:03,2021-07-22 11:38:52,Charles,Excellent (5),Resolved,,Ticket Portal
T348,Low,California,Data Leak,Phishing,IT,On Prem Server,2021-07-18 17:55:36,2021-07-19 08:39:05,2021-08-17 22:07:44,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T349,High,Florida,Security Gap,Obsolete Software,Legal,Vendor Cloud,2021-07-19 10:56:54,2021-07-19 10:58:08,2021-07-21 14:54:08,Sebastian,Unsatisfactory (2),Resolved,,Ticket Portal
T35,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,2021-01-25 18:56:04,2021-01-25 19:49:43,2021-01-25 19:49:43,Sebastian,Excellent (5),Advised for a risk assessment,,Ticket Portal
T350,Medium,Pennsylvania,Data Leak,Phishing,Marketing,On Prem Server,2021-07-20 18:21:13,2021-07-20 18:23:57,2021-07-21 12:38:35,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T351,Medium,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-07-20 20:00:34,2021-07-20 20:02:03,2021-07-21 12:43:01,Michael,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T352,Low,New Jersey,Data Privacy,GDPR,HR,Vendor Cloud,2021-07-20 20:03:58,2021-07-20 20:18:51,2021-07-20 20:20:51,Michael,Good (4),Resolved,,Mail
T353,Low,Washington,Data Privacy,PCI-DSS,IT,Vendor Cloud,2021-07-21 16:32:06,2021-07-21 16:37:06,2021-07-22 11:40:16,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T354,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,2021-07-21 22:01:20,2021-07-21 22:34:58,2021-07-22 16:19:19,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T355,Low,Oregon,Data Privacy,GDPR,Legal,Vendor Cloud,2021-07-23 17:40:59,2021-07-23 17:49:52,2021-07-28 18:43:36,Martina,Excellent (5),Resolved,,Ticket Portal
T356,Low,Utah,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-07-23 20:39:08,2021-07-26 12:27:16,2021-08-04 09:29:24,Charles,Excellent (5),Resolved,,Ticket Portal
T357,High,California,Data Privacy,Privacy Assessment,HR,Vendor Cloud,2021-07-26 20:18:26,2021-07-26 20:20:50,2021-07-26 20:21:21,Michael,Good (4),Advised for a risk assessment,,Ticket Portal
T358,Low,Iowa,Data Privacy,PCI-DSS,Finance,Vendor Cloud,2021-07-26 20:23:50,2021-07-26 20:24:06,2021-08-03 17:40:59,Robbin,Good (4),Resolved,,Personal Call
T359,High,Connecticut,Cyber Security Breach,Spyware,HR,On Prem Server,2021-07-27 11:07:29,2021-07-27 11:10:15,2021-07-29 21:29:39,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T36,High,California,Data Privacy,GDPR,IT,On Prem Cloud,2021-01-25 23:29:33,2021-01-25 23:37:40,2021-06-03 18:54:09,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T360,High,Rhode Island,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-07-27 11:38:13,2021-07-27 11:38:31,2021-07-27 11:57:47,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T361,High,Arizona,Data Privacy,GDPR,Finance,On Prem Server,2021-07-27 12:06:47,2021-07-27 12:07:03,2021-07-27 12:12:09,Allan,Excellent (5),Resolved,,Mail
T362,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-07-27 12:23:50,2021-07-27 12:37:46,2021-07-27 12:41:12,Allan,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T363,High,California,Cyber Security Breach,Spyware,Marketing,Vendor Cloud,2021-07-27 13:54:53,2021-07-27 13:57:33,2021-11-03 19:17:39,Benny,Good (4),Advised for a risk assessment,,Ticket Portal
T364,High,North Carolina,Cyber Security Breach,Firewall,IT,On Prem Server,2021-07-27 17:17:38,2021-07-27 17:25:58,2021-08-19 00:10:43,Martina,Good (4),Resolved,,Ticket Portal
T365,Medium,California,Data Privacy,Privacy Assessment,HR,On Prem Cloud,2021-07-27 19:16:49,2021-07-27 19:25:58,2021-07-27 19:25:58,Robbin,Excellent (5),Resolved,,Ticket Portal
T366,Low,California,Data Privacy,HIPAA,Finance,Vendor Cloud,2021-07-27 21:03:12,2021-07-27 21:34:41,2021-07-28 18:10:20,Martina,Good (4),Resolved,,Ticket Portal
T367,High,Florida,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,2021-07-27 21:38:07,2021-07-28 10:39:28,2021-08-09 18:29:13,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T368,Low,Texas,Data Privacy,PCI-DSS,HR,On Prem Server,2021-07-28 16:51:27,2021-07-28 21:51:12,2021-08-06 14:53:54,Aleena,Good (4),Advised for a risk assessment,,Ticket Portal
T369,Low,California,Data Privacy,GDPR,HR,On Prem Server,2021-07-28 23:43:40,2021-07-28 23:43:40,2021-07-28 23:43:40,Michael,Satisfactory (3),Resolved,,Ticket Portal
T37,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-01-27 15:20:39,2021-01-27 15:21:40,2021-01-27 15:40:48,Martina,Unsatisfactory (2),Resolved,No,Ticket Portal
T370,Low,New York,Data Privacy,GDPR,Finance,Vendor Cloud,2021-07-29 12:47:00,2021-07-29 13:09:40,2021-08-04 13:48:18,Michael,Excellent (5),Resolved,,Personal Call
T371,Low,South Carolina,Security Gap,Unauthorized access,HR,On Prem Cloud,2021-07-29 18:47:52,2021-07-29 18:50:04,2021-08-13 12:58:07,Robbin,Satisfactory (3),Resolved,,Ticket Portal
T372,High,Pennsylvania,Cyber Security Breach,Spyware,HR,On Prem Server,2021-07-29 18:53:36,2021-07-29 18:55:17,2021-08-16 18:24:43,Sebastian,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T373,High,Ohio,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,2021-07-30 16:44:41,2021-07-30 16:45:02,2021-08-03 17:39:39,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T374,High,New York,Data Privacy,PCI-DSS,Finance,On Prem Server,2021-07-30 20:31:04,2021-08-02 11:14:46,2021-08-05 17:28:01,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T375,High,New Jersey,Data Privacy,GDPR,Legal,Vendor Cloud,2021-08-02 10:42:00,2021-08-02 10:45:45,2021-08-04 10:29:13,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T376,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,2021-08-02 19:12:43,2021-08-02 19:19:00,2021-08-16 18:28:14,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T377,Medium,Massachusetts,Data Leak,Insider Threat,HR,On Prem Cloud,2021-08-04 04:04:44,2021-08-04 12:10:04,2021-09-09 19:53:53,Charlotte,Excellent (5),Resolved,,Personal Call
T378,Low,Florida,Cyber Consultation,Application Offboarding,Legal,On Prem Server,2021-08-04 11:42:11,2021-08-04 11:46:36,2021-09-07 15:11:36,Michael,Satisfactory (3),Resolved,,Ticket Portal
T379,High,California,Cyber Consultation,Database Security,IT,On Prem Cloud,2021-08-04 13:05:40,2021-08-04 13:37:18,2021-08-13 18:47:32,Sean,Excellent (5),Advised for a risk assessment,,Personal Call
T38,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-01-27 16:21:56,2021-01-27 16:24:59,2021-06-03 19:36:24,Allan,Excellent (5),Resolved,,Mail
T380,Medium,California,Data Leak,Insider Threat,Manufacturing,On Prem Server,2021-08-04 14:41:33,2021-08-04 14:46:01,2021-08-26 21:48:47,Michael,Excellent (5),Resolved,,Ticket Portal
T381,Medium,New York,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-08-04 14:44:27,2021-08-04 14:44:57,2021-08-05 18:25:51,Sean,Satisfactory (3),Recommended Threat Assessment,,Mail
T382,Medium,Alabama,Data Privacy,PCI-DSS,IT,On Prem Server,2021-08-04 14:50:22,2021-08-04 14:50:41,2021-08-19 22:47:29,Sean,Good (4),Advised for a risk assessment,,Ticket Portal
T383,Medium,New York,Data Leak,Insider Threat,IT,On Prem Server,2021-08-04 15:00:34,2021-08-04 15:01:59,2021-08-23 19:30:33,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T384,High,Florida,Data Leak,Phishing,Marketing,On Prem Server,2021-08-04 19:13:59,2021-08-04 19:16:32,2021-08-05 17:16:54,Charles,Excellent (5),Advised for a risk assessment,,Mail
T385,High,Colorado,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-08-04 19:34:22,2021-08-04 20:05:38,2021-08-17 18:44:43,Martina,Good (4),Resolved,,Ticket Portal
T386,Low,Idaho,Data Privacy,PCI-DSS,HR,On Prem Cloud,2021-08-04 22:54:51,2021-08-05 12:30:02,2021-08-22 19:09:38,Bob,Excellent (5),Resolved,,Mail
T387,Low,New Jersey,Data Privacy,HIPAA,Finance,On Prem Server,2021-08-05 18:19:30,2021-08-05 18:25:55,2021-08-10 13:07:26,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Personal Call
T388,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,2021-08-05 18:58:39,2021-08-05 19:01:40,2021-08-13 12:56:39,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T389,Low,District of Columbia,Data Privacy,HIPAA,HR,On Prem Cloud,2021-08-05 19:24:29,2021-08-05 19:25:40,2021-08-05 22:13:44,Veronica,Good (4),Resolved,,Ticket Portal
T39,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,2021-01-27 17:44:51,2021-01-27 18:14:42,2021-06-03 19:26:23,Martina,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T390,High,Maryland,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-08-06 10:04:59,2021-08-06 10:05:50,2021-08-10 17:45:27,Charles,Excellent (5),Resolved,,Ticket Portal
T391,High,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Server,2021-08-06 11:34:25,2021-08-06 11:38:14,2021-08-09 18:46:34,Cinderalla,Good (4),Resolved,,Ticket Portal
T392,High,Georgia,Cyber Consultation,Secure Development,Manufacturing,On Prem Server,2021-08-06 13:02:14,2021-08-06 13:05:32,2021-08-13 12:44:48,Charles,Unsatisfactory (2),Resolved,Yes,Mail
T393,Low,Texas,Cyber Consultation,Secure Development,Manufacturing,On Prem Server,2021-08-06 13:09:03,2021-08-06 13:10:16,2021-08-06 13:17:17,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T394,Low,California,Data Privacy,GDPR,Finance,On Prem Server,2021-08-06 13:23:57,2021-08-06 13:25:00,2021-08-06 13:26:14,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T395,High,New York,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,2021-08-06 15:03:17,2021-09-17 13:24:10,2021-09-22 10:09:31,Sebastian,Good (4),Advised for a risk assessment,,Ticket Portal
T396,Low,Nevada,Data Leak,Vishing,Finance,On Prem Cloud,2021-08-06 21:42:24,2021-08-08 09:17:06,2021-10-18 11:47:04,Cinderalla,Good (4),Resolved,,Ticket Portal
T397,High,Maryland,Data Leak,Insider Threat,IT,On Prem Cloud,2021-08-09 17:33:27,2021-08-09 17:35:00,2021-08-11 08:48:03,Allan,Good (4),Resolved,,Ticket Portal
T398,High,Washington,Data Privacy,HIPAA,Finance,On Prem Server,2021-08-09 22:14:27,2021-08-10 10:18:56,2021-08-23 17:25:16,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T399,High,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Server,2021-08-10 14:27:41,2021-08-10 14:30:47,2021-08-11 12:43:00,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T40,Low,Washington,Cyber Consultation,Secure Development,HR,Vendor Cloud,2021-01-27 21:00:20,2021-01-27 21:00:52,2021-01-27 21:20:08,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T400,High,Texas,Cyber Security Breach,Trojan Attack,Manufacturing,Vendor Cloud,2021-08-10 19:42:34,2021-08-10 19:47:33,2021-08-18 09:54:05,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call
T401,High,West Virginia,Cyber Consultation,Encryption,IT,On Prem Cloud,2021-08-10 23:16:59,2021-08-11 09:43:35,2021-08-13 19:02:27,Charles,Excellent (5),Advised for a risk assessment,,Mail
T402,Low,Ohio,Data Privacy,Privacy Assessment,Finance,On Prem Server,2021-08-11 19:22:32,2021-08-11 19:25:02,2021-08-17 17:19:02,Charles,Satisfactory (3),Resolved,,Ticket Portal
T403,Low,Indiana,Data Privacy,Privacy Assessment,HR,On Prem Server,2021-08-12 14:22:52,2021-08-12 14:27:44,2021-08-16 22:01:09,Cinderalla,Excellent (5),Advised for a risk assessment,,Mail
T404,Medium,Georgia,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-08-12 15:16:14,2021-08-13 12:34:33,2021-09-16 14:45:31,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T405,High,Delaware,Cyber Security Breach,Trojan Attack,HR,On Prem Server,2021-08-13 13:35:39,2021-08-13 13:42:34,2021-08-17 20:54:57,Sylviya,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T406,Low,California,Data Privacy,PCI-DSS,Manufacturing,Vendor Cloud,2021-08-13 14:39:41,2021-08-13 14:40:59,2021-08-25 17:25:08,Sebastian,Good (4),Recommended Threat Assessment,,Personal Call
T407,Medium,Georgia,Data Privacy,HIPAA,IT,Vendor Cloud,2021-08-13 17:30:12,2021-08-13 22:27:06,2021-08-16 23:06:49,Martina,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T408,Low,Virginia,Data Leak,Phishing,IT,Vendor Cloud,2021-08-14 00:01:01,2021-08-30 12:34:46,2021-09-07 18:27:42,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T409,High,Washington,Data Privacy,PCI-DSS,Finance,On Prem Server,2021-08-14 01:33:17,2021-08-16 09:18:53,2021-08-20 18:47:07,Veronica,Excellent (5),Recommended Threat Assessment,,Personal Call
T41,Medium,Tennessee,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-01-28 20:30:03,2021-01-31 08:53:33,2021-06-15 11:00:25,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T410,Low,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-08-16 13:33:27,2021-08-16 13:35:46,2021-08-23 19:23:43,Veronica,Excellent (5),Resolved,,Personal Call
T411,High,Georgia,Data Privacy,GDPR,Finance,Vendor Cloud,2021-08-16 15:02:31,2021-08-16 15:05:20,2021-08-19 14:15:07,Aleena,Good (4),Resolved,,Ticket Portal
T412,Medium,North Carolina,Cyber Consultation,Access Management,Finance,On Prem Server,2021-08-16 15:37:59,2021-08-16 15:38:41,2021-08-16 15:39:25,Charles,Excellent (5),Resolved,,Mail
T413,High,Illinois,Data Privacy,GDPR,Marketing,On Prem Cloud,2021-08-16 16:22:44,2021-08-16 16:45:41,2021-08-25 17:43:49,Veronica,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T414,High,Kansas,Cyber Consultation,BCP/DR,Marketing,On Prem Cloud,2021-08-16 19:51:29,2021-08-16 20:44:51,2021-08-20 18:18:12,Martina,Excellent (5),Advised for a risk assessment,,Mail
T415,High,Texas,Cyber Security Breach,Malware Attack,Finance,Vendor Cloud,2021-08-17 14:23:36,2021-08-17 14:36:13,2021-09-16 09:41:10,Charles,Excellent (5),Resolved,,Personal Call
T416,Low,Georgia,Security Gap,Unauthorized access,IT,Vendor Cloud,2021-08-17 18:55:31,2021-08-17 19:01:27,2021-08-19 16:27:10,Charles,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T417,High,Florida,Cyber Consultation,BCP/DR,Manufacturing,On Prem Server,2021-08-17 18:58:55,2021-08-17 20:34:30,2021-08-23 10:08:34,Sylviya,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T418,High,Maryland,Data Privacy,HIPAA,Finance,On Prem Server,2021-08-17 20:29:48,2021-08-17 20:30:05,2021-08-17 20:38:10,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T419,Low,New York,Data Privacy,Privacy Assessment,Legal,Vendor Cloud,2021-08-17 20:42:41,2021-08-17 20:43:05,2021-08-17 20:47:16,Veronica,Excellent (5),Recommended Threat Assessment,,Personal Call
T42,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,2021-01-31 09:37:19,2021-01-31 09:37:50,2021-01-31 09:40:00,Allan,Satisfactory (3),Resolved,,Ticket Portal
T420,Low,Illinois,Data Leak,Insider Threat,HR,On Prem Server,2021-08-17 22:37:28,2021-08-17 22:38:39,2021-08-17 22:40:08,Allan,Satisfactory (3),Resolved,,Ticket Portal
T421,Low,California,Cyber Consultation,Segregation of Duties,HR,On Prem Cloud,2021-08-17 22:42:46,2021-08-17 22:43:05,2021-08-17 22:44:17,Allan,Excellent (5),Resolved,,Ticket Portal
T422,Low,Florida,Data Privacy,HIPAA,IT,On Prem Server,2021-08-17 22:46:07,2021-08-17 22:46:24,2021-08-17 22:48:20,Allan,Excellent (5),Resolved,,Personal Call
T423,Low,California,Cyber Consultation,Secure Development,IT,On Prem Server,2021-08-17 22:50:58,2021-08-17 22:51:18,2021-08-17 23:00:07,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T424,High,California,Data Leak,Insider Threat,IT,On Prem Cloud,2021-08-18 00:57:53,2021-08-27 02:17:43,2021-08-27 02:17:43,Martina,Good (4),Resolved,,Ticket Portal
T425,High,Texas,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-08-18 14:49:50,2021-08-18 14:55:33,2021-08-24 22:47:56,Charles,Good (4),Resolved,,Ticket Portal
T426,Low,California,Security Gap,Unauthorized access,Legal,Vendor Cloud,2021-08-18 16:23:38,2021-08-18 16:23:38,2021-08-18 16:23:38,Veronica,Good (4),Recommended Threat Assessment,,Ticket Portal
T427,High,Utah,Data Privacy,HIPAA,IT,On Prem Cloud,2021-08-18 16:27:59,2021-08-18 16:28:25,2021-08-19 14:19:59,Aleena,Good (4),Resolved,,Personal Call
T428,Low,Florida,Data Privacy,HIPAA,Finance,On Prem Cloud,2021-08-18 17:38:06,2021-08-18 18:35:14,2021-08-26 17:26:27,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T429,Low,Texas,Data Privacy,Privacy Assessment,IT,Vendor Cloud,2021-08-18 19:07:26,2021-08-18 21:23:21,2021-08-31 16:51:28,Veronica,Good (4),Resolved,,Personal Call
T43,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-01-31 09:46:50,2021-01-31 09:47:05,2021-01-31 09:51:17,Allan,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T430,High,Missouri,Data Leak,Phishing,IT,Vendor Cloud,2021-08-18 20:51:49,2021-08-19 20:30:20,2021-09-01 19:57:25,Bob,Excellent (5),Resolved,,Personal Call
T431,Low,Maine,Security Gap,Unauthorized software,HR,On Prem Cloud,2021-08-19 00:50:45,2021-08-19 06:49:59,2021-08-27 11:43:41,Cinderalla,Excellent (5),Advised for a risk assessment,,Mail
T432,Low,Texas,Data Privacy,HIPAA,HR,On Prem Server,2021-08-19 20:34:30,2021-08-19 21:37:21,2021-08-26 15:43:09,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T433,Medium,Texas,Data Privacy,PCI-DSS,Marketing,On Prem Cloud,2021-08-19 22:53:26,2021-08-19 22:54:48,2021-08-26 20:56:16,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T434,High,Illinois,Data Privacy,HIPAA,IT,On Prem Cloud,2021-08-20 15:58:39,2021-08-20 16:09:14,2021-08-23 09:44:22,Charles,Excellent (5),Advised for a risk assessment,,Mail
T435,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-08-21 01:55:52,2021-08-22 23:24:18,2021-08-27 19:24:21,Sean,Excellent (5),Resolved,,Mail
T436,Low,North Carolina,Data Privacy,HIPAA,IT,On Prem Cloud,2021-08-22 22:30:52,2021-08-22 22:31:30,2021-08-22 22:34:46,Bob,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T437,High,Virginia,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,2021-08-22 22:42:24,2021-04-25 16:48:41,2021-08-27 14:10:32,Bob,Good (4),Resolved,,Ticket Portal
T438,Low,California,Data Privacy,GDPR,HR,On Prem Server,2021-08-23 09:27:33,2021-08-23 21:34:09,2021-09-16 14:36:44,Robbin,Excellent (5),Resolved,,Ticket Portal
T439,Low,Virginia,Data Leak,Insider Threat,IT,On Prem Server,2021-08-24 13:11:43,2021-08-24 17:47:59,2021-12-24 09:58:56,Veronica,Excellent (5),Resolved,,Ticket Portal
T44,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-01-31 09:46:51,2021-01-31 09:47:20,2021-06-03 19:56:04,Allan,Satisfactory (3),Resolved,,Ticket Portal
T440,High,Texas,Data Privacy,GDPR,Legal,On Prem Server,2021-08-24 17:23:28,2021-08-24 17:30:47,2021-08-24 19:17:54,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T441,Low,New York,Data Privacy,PCI-DSS,HR,Vendor Cloud,2021-08-24 19:46:33,2021-08-24 20:02:21,2021-08-26 11:10:20,Charles,Good (4),Recommended Threat Assessment,,Ticket Portal
T442,Low,Oregon,Cyber Consultation,Secure Development,HR,On Prem Server,2021-08-24 23:44:01,2021-08-25 17:19:50,2021-09-03 18:28:06,Martina,Good (4),Resolved,,Ticket Portal
T443,Low,Washington,Cyber Consultation,New Application Launch,Marketing,On Prem Cloud,2021-08-25 14:27:40,2021-08-25 17:52:19,2021-09-03 18:30:58,Sylviya,Excellent (5),Resolved,,Ticket Portal
T444,High,Illinois,Cyber Security Breach,Firewall,Marketing,On Prem Cloud,2021-08-25 18:23:17,2021-08-26 10:15:53,2021-09-03 17:37:03,Sylviya,Good (4),Recommended Threat Assessment,,Ticket Portal
T445,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-08-25 22:13:48,2021-08-25 23:40:41,2021-08-26 21:33:29,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T446,High,Florida,Cyber Consultation,BCP/DR,HR,On Prem Cloud,2021-08-25 23:35:07,2021-08-26 10:14:47,2021-08-26 10:14:47,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T447,High,Texas,Security Gap,Obsolete Software,IT,On Prem Server,2021-08-26 21:15:50,2021-08-26 21:32:37,2021-09-02 21:03:42,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T448,Low,Nevada,Cyber Consultation,Access Management,Finance,On Prem Server,2021-08-27 12:30:03,2021-08-27 12:34:34,2021-09-06 11:00:38,Charles,Excellent (5),Resolved,,Ticket Portal
T449,Medium,New York,Data Privacy,GDPR,HR,On Prem Server,2021-08-27 14:53:31,2021-08-27 15:02:26,2021-09-01 15:55:13,Charles,Excellent (5),Advised for a risk assessment,,Mail
T45,High,Connecticut,Cyber Consultation,Segregation of Duties,Finance,On Prem Server,2021-01-31 09:46:53,2021-01-31 09:47:36,2021-01-31 09:57:49,Allan,Excellent (5),Resolved,,Personal Call
T450,Medium,Massachusetts,Cyber Consultation,Database Security,IT,Vendor Cloud,2021-08-27 19:17:16,2021-08-27 19:30:37,2021-12-21 11:59:58,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T451,High,Florida,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,2021-08-27 19:48:12,2021-08-27 19:49:42,2021-09-13 09:41:24,Bob,Excellent (5),Resolved,,Mail
T452,Low,Oklahoma,Data Leak,Vishing,Marketing,Vendor Cloud,2021-08-28 01:07:28,2021-08-30 10:09:50,2021-09-03 19:46:02,Charles,Good (4),Resolved,,Mail
T453,Medium,California,Data Leak,Phishing,Manufacturing,On Prem Server,2021-08-30 20:45:30,2021-08-30 20:47:42,2021-09-17 11:25:42,Robbin,Satisfactory (3),Resolved,,Mail
