Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via,text
T285,High,Florida,Data Leak,Phishing,Finance,On Prem Server,2021-06-09 19:44:00,2021-06-09 19:54:32,2021-07-28 21:50:33,Aleena,Excellent (5),Advised for a risk assessment,,Mail,Data Leak Phishing Advised for a risk assessment High Finance
T286,High,New York,Cyber Consultation,Application Offboarding,Marketing,Vendor Cloud,2021-06-09 19:57:54,2021-06-09 19:59:57,2021-06-16 10:20:42,Cinderalla,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Application Offboarding Advised for a risk assessment High Marketing
T287,Medium,Virginia,Cyber Consultation,Access Management,Legal,On Prem Cloud,2021-06-10 11:42:28,2021-06-10 11:45:56,2021-07-22 11:06:19,Michael,Good (4),Resolved,,Ticket Portal,Cyber Consultation Access Management Resolved Medium Legal
T288,Low,Florida,Data Privacy,PCI-DSS,HR,On Prem Cloud,2021-06-10 19:35:25,2021-06-10 19:44:04,2021-06-11 18:57:47,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal,Data Privacy PCI-DSS Recommended Threat Assessment Low HR
T289,Low,Illinois,Data Privacy,HIPAA,HR,On Prem Server,2021-06-11 16:46:26,2021-06-11 16:48:20,2021-06-11 16:48:43,Robbin,Excellent (5),Recommended Threat Assessment,,Personal Call,Data Privacy HIPAA Recommended Threat Assessment Low HR
T29,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,2021-01-13 21:53:10,2021-01-13 21:54:06,2021-01-17 18:36:34,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Database Security Advised for a risk assessment Low IT
T290,Medium,California,Data Privacy,GDPR,IT,Vendor Cloud,2021-06-11 19:22:13,2021-06-11 19:22:41,2021-06-11 19:23:39,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy GDPR Advised for a risk assessment Medium IT
T291,High,New York,Data Leak,Insider Threat,IT,On Prem Server,2021-06-11 23:15:32,2021-06-12 08:29:22,2021-06-18 11:48:45,Charles,Good (4),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved High IT
T292,Medium,Illinois,Security Gap,Password non-expiry,Legal,On Prem Cloud,2021-06-14 11:43:04,2021-06-14 11:46:01,2021-06-22 19:02:55,Michael,Satisfactory (3),Advised for a risk assessment,,Mail,Security Gap Password non-expiry Advised for a risk assessment Medium Legal
T293,Medium,Kansas,Security Gap,Obsolete Software,IT,Vendor Cloud,2021-06-14 11:55:33,2021-06-14 11:57:15,2021-06-28 14:10:23,Sebastian,Unsatisfactory (2),Resolved,Yes,Ticket Portal,Security Gap Obsolete Software Resolved Medium IT
T294,High,Florida,Data Leak,Vishing,IT,On Prem Cloud,2021-06-14 12:07:12,2021-06-14 12:07:43,2021-06-14 12:09:59,Michael,Excellent (5),Resolved,,Personal Call,Data Leak Vishing Resolved High IT
T295,High,New York,Cyber Consultation,BCP/DR,Finance,Vendor Cloud,2021-06-14 14:00:02,2021-06-14 14:04:10,2021-06-24 11:01:46,Cinderalla,Satisfactory (3),Advised for a risk assessment,,Personal Call,Cyber Consultation BCP/DR Advised for a risk assessment High Finance
T296,High,Texas,Data Privacy,HIPAA,IT,On Prem Server,2021-06-15 00:16:54,2021-06-15 00:22:53,2021-06-30 18:18:14,Sebastian,Good (4),Resolved,,Personal Call,Data Privacy HIPAA Resolved High IT
T297,High,New York,Cyber Security Breach,Firewall,IT,On Prem Server,2021-06-15 17:07:06,2021-06-15 17:13:52,2021-06-24 20:13:42,Sylviya,Excellent (5),Resolved,,Mail,Cyber Security Breach Firewall Resolved High IT
T298,High,Massachusetts,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-06-15 18:27:18,2021-06-15 18:33:58,2021-06-22 19:07:38,Michael,Satisfactory (3),Resolved,,Ticket Portal,Cyber Security Breach Spyware Resolved High Finance
T299,High,Michigan,Data Leak,Phishing,Finance,On Prem Server,2021-06-16 20:45:52,2021-06-16 20:46:24,2021-06-16 20:51:18,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Leak Phishing Recommended Threat Assessment High Finance
T30,High,California,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,2021-01-18 11:34:43,2021-01-18 11:35:01,2021-07-16 12:54:03,Robbin,Excellent (5),Resolved,,Mail,Cyber Consultation BCP/DR Resolved High Finance
T300,High,Nevada,Data Leak,Vishing,HR,On Prem Server,2021-06-17 12:19:42,2021-06-17 12:20:06,2021-06-29 13:16:45,Robbin,Excellent (5),Recommended Threat Assessment,,Personal Call,Data Leak Vishing Recommended Threat Assessment High HR
T301,Low,Colorado,Data Leak,Phishing,Finance,On Prem Server,2021-06-18 16:41:04,2021-06-18 16:41:36,2021-06-18 19:38:23,Robbin,Unsatisfactory (2),Resolved,Yes,Ticket Portal,Data Leak Phishing Resolved Low Finance
T302,High,Texas,Data Privacy,GDPR,Legal,On Prem Server,2021-06-18 19:35:01,2021-06-18 19:35:42,2021-06-21 18:27:47,Veronica,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy GDPR Recommended Threat Assessment High Legal
T303,Low,Kentucky,Cyber Consultation,Encryption,IT,On Prem Server,2021-06-21 10:55:49,2021-06-21 10:57:48,2021-06-22 16:24:42,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Encryption Advised for a risk assessment Low IT
T304,Medium,Maryland,Cyber Consultation,Application Offboarding,Legal,Vendor Cloud,2021-06-21 11:12:47,2021-06-21 11:13:20,2021-06-25 16:52:39,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Application Offboarding Advised for a risk assessment Medium Legal
T305,Low,California,Cyber Consultation,Third Party Engagement,Legal,On Prem Server,2021-06-21 16:03:48,2021-06-21 16:10:34,2021-06-25 15:11:57,Charles,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Consultation Third Party Engagement Advised for a risk assessment Low Legal
T306,Medium,Illinois,Data Leak,Phishing,HR,On Prem Cloud,2021-06-21 20:08:06,2021-06-21 20:20:04,2021-06-26 10:59:56,Cinderalla,Good (4),Advised for a risk assessment,,Mail,Data Leak Phishing Advised for a risk assessment Medium HR
T307,Low,Virginia,Data Leak,Insider Threat,Finance,Vendor Cloud,2021-06-22 15:04:25,2021-06-22 15:09:14,2021-07-01 00:38:09,Sean,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Leak Insider Threat Recommended Threat Assessment Low Finance
T308,Medium,New Jersey,Data Privacy,PCI-DSS,IT,On Prem Server,2021-06-22 17:44:30,2021-06-22 17:44:55,2021-06-22 17:47:18,Robbin,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal,Data Privacy PCI-DSS Recommended Threat Assessment Medium IT
T309,High,South Carolina,Cyber Security Breach,Spyware,Legal,On Prem Server,2021-06-23 13:26:18,2021-06-23 13:26:35,2021-06-23 13:28:29,Michael,Good (4),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Spyware Recommended Threat Assessment High Legal
T31,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,2021-01-19 04:21:57,2021-01-19 04:22:22,2021-01-19 04:23:53,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal,Data Leak Insider Threat Recommended Threat Assessment High HR
T310,High,Virginia,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,2021-06-23 13:30:57,2021-06-23 13:31:14,2021-06-23 13:32:19,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Malware Attack Advised for a risk assessment High IT
T311,Medium,Massachusetts,Cyber Consultation,Access Management,Marketing,On Prem Server,2021-06-23 15:31:52,2021-06-23 15:37:41,2021-06-24 16:50:40,Charles,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation Access Management Resolved Medium Marketing
T312,High,Georgia,Cyber Security Breach,Firewall,Manufacturing,Vendor Cloud,2021-06-23 17:29:46,2021-06-23 17:50:03,2021-07-06 14:33:53,Sean,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Security Breach Firewall Advised for a risk assessment High Manufacturing
T313,Low,New York,Security Gap,Obsolete Software,Legal,On Prem Server,2021-06-23 19:07:09,2021-06-23 19:09:29,2021-06-23 19:55:22,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Security Gap Obsolete Software Recommended Threat Assessment Low Legal
T314,High,North Carolina,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,2021-06-25 16:12:57,2021-06-25 16:13:32,2021-06-25 22:46:27,Charlotte,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Malware Attack Resolved High Marketing
T315,High,California,Data Leak,Phishing,IT,On Prem Server,2021-06-25 20:27:24,2021-06-25 21:33:25,2021-08-04 13:46:19,Michael,Unsatisfactory (2),Resolved,,Personal Call,Data Leak Phishing Resolved High IT
T316,High,Virginia,Data Privacy,GDPR,Marketing,On Prem Server,2021-06-28 14:31:32,2021-06-28 14:32:13,2021-06-29 17:07:46,Kareema,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal,Data Privacy GDPR Recommended Threat Assessment High Marketing
T317,Low,California,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,2021-06-30 19:00:43,2021-06-30 19:03:11,2021-08-30 18:38:50,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy PCI-DSS Advised for a risk assessment Low Marketing
T318,High,Florida,Data Privacy,Privacy Assessment,IT,On Prem Cloud,2021-06-30 20:20:27,2021-06-30 20:20:56,2021-06-30 20:26:58,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment High IT
T319,Low,Louisiana,Cyber Consultation,Access Management,Marketing,On Prem Server,2021-06-30 20:31:28,2021-06-30 20:31:47,2021-06-30 20:33:18,Allan,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Access Management Advised for a risk assessment Low Marketing
T32,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-01-19 06:14:24,2021-01-19 06:16:49,2021-01-25 14:25:53,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Malware Attack Advised for a risk assessment High HR
T320,Medium,California,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,2021-06-30 20:36:16,2021-06-30 20:36:33,2021-06-30 20:39:38,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation New Application Launch Advised for a risk assessment Medium Manufacturing
T321,Medium,Illinois,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-06-30 20:41:53,2021-06-30 20:42:08,2021-06-30 20:44:19,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation New Application Launch Recommended Threat Assessment Medium Finance
T322,High,Indiana,Data Leak,Insider Threat,Marketing,On Prem Server,2021-06-30 20:46:46,2021-06-30 20:47:06,2021-06-30 20:50:12,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call,Data Leak Insider Threat Recommended Threat Assessment High Marketing
T323,Medium,Alabama,Data Privacy,PCI-DSS,HR,On Prem Server,2021-06-30 20:52:27,2021-06-30 21:02:29,2021-06-30 21:02:49,Allan,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Data Privacy PCI-DSS Advised for a risk assessment Medium HR
T324,Low,California,Data Leak,Insider Threat,Manufacturing,On Prem Cloud,2021-06-30 21:07:17,2021-06-30 21:07:38,2021-06-30 21:11:02,Allan,Excellent (5),Recommended Threat Assessment,,Mail,Data Leak Insider Threat Recommended Threat Assessment Low Manufacturing
T325,High,Wisconsin,Data Privacy,HIPAA,Marketing,On Prem Server,2021-06-30 21:39:35,2021-07-01 11:26:58,2021-07-12 12:01:54,Robbin,Satisfactory (3),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved High Marketing
T326,High,District of Columbia,Cyber Security Breach,Spyware,Legal,On Prem Cloud,2021-07-01 19:12:19,2021-07-01 19:17:28,2021-07-13 17:55:40,Michael,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Spyware Resolved High Legal
T327,Low,New York,Cyber Consultation,BCP/DR,Manufacturing,Vendor Cloud,2021-07-01 20:03:59,2021-07-01 20:06:27,2021-07-12 13:39:45,Cinderalla,Good (4),Resolved,,Ticket Portal,Cyber Consultation BCP/DR Resolved Low Manufacturing
T328,Medium,Florida,Data Privacy,PCI-DSS,Marketing,On Prem Server,2021-07-05 12:44:51,2021-07-05 12:47:13,2021-07-14 20:14:40,Bob,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy PCI-DSS Advised for a risk assessment Medium Marketing
T329,High,North Carolina,Cyber Security Breach,Firewall,Legal,Vendor Cloud,2021-07-05 16:00:14,2021-07-05 16:02:54,2021-07-13 17:48:46,Bob,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High Legal
T33,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,2021-01-20 08:44:59,2021-01-20 08:45:18,2021-01-20 08:52:51,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Secure Development Advised for a risk assessment Medium IT
T330,Medium,Georgia,Data Leak,Phishing,HR,On Prem Cloud,2021-07-06 17:38:23,2021-07-06 18:00:50,2021-07-08 18:28:07,Charles,Good (4),Resolved,,Personal Call,Data Leak Phishing Resolved Medium HR
T331,High,Nebraska,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-07-06 21:15:16,2021-07-06 21:19:40,2021-07-07 21:33:56,Veronica,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Third Party Engagement Advised for a risk assessment High IT
T332,High,California,Data Leak,Vishing,Marketing,On Prem Server,2021-07-07 18:36:33,2021-07-07 18:37:07,2021-07-14 11:47:29,Aleena,Excellent (5),Resolved,,Personal Call,Data Leak Vishing Resolved High Marketing
T333,High,Minnesota,Security Gap,Obsolete Software,Legal,On Prem Cloud,2021-07-07 21:39:09,2021-07-07 21:43:55,2021-07-09 19:51:03,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal,Security Gap Obsolete Software Advised for a risk assessment High Legal
T334,Medium,Hawaii,Data Privacy,GDPR,IT,On Prem Cloud,2021-07-08 01:39:57,2021-07-08 01:39:57,2021-07-08 01:39:57,Michael,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy GDPR Advised for a risk assessment Medium IT
T335,Medium,District of Columbia,Cyber Consultation,Database Security,Legal,On Prem Server,2021-07-08 17:26:41,2021-07-08 18:56:18,2021-07-19 10:54:48,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation Database Security Recommended Threat Assessment Medium Legal
T336,Low,Florida,Security Gap,Unauthorized software,Legal,Vendor Cloud,2021-07-09 11:48:48,2021-07-09 11:49:10,2021-07-09 11:50:17,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal,Security Gap Unauthorized software Advised for a risk assessment Low Legal
T337,Low,Florida,Data Leak,Insider Threat,Legal,On Prem Server,2021-07-09 21:08:17,2021-07-09 21:34:09,2021-07-19 14:34:04,Bob,Excellent (5),Resolved,,Mail,Data Leak Insider Threat Resolved Low Legal
T338,High,Virginia,Cyber Security Breach,Firewall,Finance,On Prem Server,2021-07-09 21:31:02,2021-07-09 21:35:14,2021-07-21 15:12:13,Bob,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call,Cyber Security Breach Firewall Recommended Threat Assessment High Finance
T339,High,Tennessee,Security Gap,Obsolete Software,IT,On Prem Server,2021-07-10 00:33:44,2021-07-10 00:41:22,2021-07-24 01:14:34,Charlotte,Good (4),Resolved,,Personal Call,Security Gap Obsolete Software Resolved High IT
T34,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,2021-01-21 18:18:12,2021-01-21 18:31:29,2021-06-09 12:11:32,Robbin,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation Segregation of Duties Resolved Low Marketing
T340,Low,District of Columbia,Data Privacy,GDPR,Marketing,Vendor Cloud,2021-07-12 14:57:30,2021-07-12 15:24:08,2021-07-19 10:03:20,Charles,Unsatisfactory (2),Resolved,,Ticket Portal,Data Privacy GDPR Resolved Low Marketing
T341,Medium,New York,Cyber Consultation,Access Management,Marketing,On Prem Server,2021-07-13 23:18:15,2021-07-13 23:32:58,2021-07-15 17:54:36,Sean,Excellent (5),Advised for a risk assessment,,Mail,Cyber Consultation Access Management Advised for a risk assessment Medium Marketing
T342,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Server,2021-07-14 12:52:50,2021-07-14 12:54:05,2021-07-14 12:55:55,Charles,Excellent (5),Resolved,,Personal Call,Data Privacy Privacy Assessment Resolved High Legal
T343,Low,North Carolina,Data Privacy,PCI-DSS,IT,On Prem Server,2021-07-14 21:37:35,2021-07-16 18:04:54,2021-07-16 18:04:54,Charlotte,Excellent (5),Recommended Threat Assessment,,Mail,Data Privacy PCI-DSS Recommended Threat Assessment Low IT
T344,High,Indiana,Cyber Consultation,Application Offboarding,Finance,Vendor Cloud,2021-07-15 15:34:49,2021-07-15 15:36:51,2021-07-21 16:54:18,Kareema,Good (4),Resolved,,Mail,Cyber Consultation Application Offboarding Resolved High Finance
T345,Low,Colorado,Security Gap,Obsolete Software,HR,Vendor Cloud,2021-07-16 16:02:12,2021-07-16 16:04:13,2021-07-22 22:31:09,Aleena,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Security Gap Obsolete Software Recommended Threat Assessment Low HR
T346,Medium,California,Data Privacy,PCI-DSS,Manufacturing,On Prem Server,2021-07-16 16:03:39,2021-07-16 16:04:31,2021-07-22 22:26:56,Aleena,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy PCI-DSS Advised for a risk assessment Medium Manufacturing
T347,Medium,New Hampshire,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,2021-07-16 20:04:24,2021-07-18 16:50:03,2021-07-22 11:38:52,Charles,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation New Application Launch Resolved Medium Manufacturing
T348,Low,California,Data Leak,Phishing,IT,On Prem Server,2021-07-18 17:55:36,2021-07-19 08:39:05,2021-08-17 22:07:44,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Leak Phishing Advised for a risk assessment Low IT
T349,High,Florida,Security Gap,Obsolete Software,Legal,Vendor Cloud,2021-07-19 10:56:54,2021-07-19 10:58:08,2021-07-21 14:54:08,Sebastian,Unsatisfactory (2),Resolved,,Ticket Portal,Security Gap Obsolete Software Resolved High Legal
T35,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,2021-01-25 18:56:04,2021-01-25 19:49:43,2021-01-25 19:49:43,Sebastian,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy HIPAA Advised for a risk assessment Medium HR
T350,Medium,Pennsylvania,Data Leak,Phishing,Marketing,On Prem Server,2021-07-20 18:21:13,2021-07-20 18:23:57,2021-07-21 12:38:35,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Leak Phishing Advised for a risk assessment Medium Marketing
T351,Medium,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-07-20 20:00:34,2021-07-20 20:02:03,2021-07-21 12:43:01,Michael,Unsatisfactory (2),Resolved,Yes,Ticket Portal,Data Privacy Privacy Assessment Resolved Medium Finance
T352,Low,New Jersey,Data Privacy,GDPR,HR,Vendor Cloud,2021-07-20 20:03:58,2021-07-20 20:18:51,2021-07-20 20:20:51,Michael,Good (4),Resolved,,Mail,Data Privacy GDPR Resolved Low HR
T353,Low,Washington,Data Privacy,PCI-DSS,IT,Vendor Cloud,2021-07-21 16:32:06,2021-07-21 16:37:06,2021-07-22 11:40:16,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy PCI-DSS Recommended Threat Assessment Low IT
T354,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,2021-07-21 22:01:20,2021-07-21 22:34:58,2021-07-22 16:19:19,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Data Privacy HIPAA Advised for a risk assessment Low Finance
T355,Low,Oregon,Data Privacy,GDPR,Legal,Vendor Cloud,2021-07-23 17:40:59,2021-07-23 17:49:52,2021-07-28 18:43:36,Martina,Excellent (5),Resolved,,Ticket Portal,Data Privacy GDPR Resolved Low Legal
T356,Low,Utah,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-07-23 20:39:08,2021-07-26 12:27:16,2021-08-04 09:29:24,Charles,Excellent (5),Resolved,,Ticket Portal,Data Privacy Privacy Assessment Resolved Low IT
T357,High,California,Data Privacy,Privacy Assessment,HR,Vendor Cloud,2021-07-26 20:18:26,2021-07-26 20:20:50,2021-07-26 20:21:21,Michael,Good (4),Advised for a risk assessment,,Ticket Portal,Data Privacy Privacy Assessment Advised for a risk assessment High HR
T358,Low,Iowa,Data Privacy,PCI-DSS,Finance,Vendor Cloud,2021-07-26 20:23:50,2021-07-26 20:24:06,2021-08-03 17:40:59,Robbin,Good (4),Resolved,,Personal Call,Data Privacy PCI-DSS Resolved Low Finance
T359,High,Connecticut,Cyber Security Breach,Spyware,HR,On Prem Server,2021-07-27 11:07:29,2021-07-27 11:10:15,2021-07-29 21:29:39,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Spyware Recommended Threat Assessment High HR
T36,High,California,Data Privacy,GDPR,IT,On Prem Cloud,2021-01-25 23:29:33,2021-01-25 23:37:40,2021-06-03 18:54:09,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy GDPR Advised for a risk assessment High IT
T360,High,Rhode Island,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-07-27 11:38:13,2021-07-27 11:38:31,2021-07-27 11:57:47,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Malware Attack Advised for a risk assessment High Finance
T361,High,Arizona,Data Privacy,GDPR,Finance,On Prem Server,2021-07-27 12:06:47,2021-07-27 12:07:03,2021-07-27 12:12:09,Allan,Excellent (5),Resolved,,Mail,Data Privacy GDPR Resolved High Finance
T362,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-07-27 12:23:50,2021-07-27 12:37:46,2021-07-27 12:41:12,Allan,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal,Data Leak Insider Threat Advised for a risk assessment Low Legal
T363,High,California,Cyber Security Breach,Spyware,Marketing,Vendor Cloud,2021-07-27 13:54:53,2021-07-27 13:57:33,2021-11-03 19:17:39,Benny,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Spyware Advised for a risk assessment High Marketing
T364,High,North Carolina,Cyber Security Breach,Firewall,IT,On Prem Server,2021-07-27 17:17:38,2021-07-27 17:25:58,2021-08-19 00:10:43,Martina,Good (4),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High IT
T365,Medium,California,Data Privacy,Privacy Assessment,HR,On Prem Cloud,2021-07-27 19:16:49,2021-07-27 19:25:58,2021-07-27 19:25:58,Robbin,Excellent (5),Resolved,,Ticket Portal,Data Privacy Privacy Assessment Resolved Medium HR
T366,Low,California,Data Privacy,HIPAA,Finance,Vendor Cloud,2021-07-27 21:03:12,2021-07-27 21:34:41,2021-07-28 18:10:20,Martina,Good (4),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved Low Finance
T367,High,Florida,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,2021-07-27 21:38:07,2021-07-28 10:39:28,2021-08-09 18:29:13,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail,Cyber Security Breach Malware Attack Recommended Threat Assessment High Marketing
T368,Low,Texas,Data Privacy,PCI-DSS,HR,On Prem Server,2021-07-28 16:51:27,2021-07-28 21:51:12,2021-08-06 14:53:54,Aleena,Good (4),Advised for a risk assessment,,Ticket Portal,Data Privacy PCI-DSS Advised for a risk assessment Low HR
T369,Low,California,Data Privacy,GDPR,HR,On Prem Server,2021-07-28 23:43:40,2021-07-28 23:43:40,2021-07-28 23:43:40,Michael,Satisfactory (3),Resolved,,Ticket Portal,Data Privacy GDPR Resolved Low HR
T37,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-01-27 15:20:39,2021-01-27 15:21:40,2021-01-27 15:40:48,Martina,Unsatisfactory (2),Resolved,No,Ticket Portal,Data Privacy PCI-DSS Resolved High IT
T370,Low,New York,Data Privacy,GDPR,Finance,Vendor Cloud,2021-07-29 12:47:00,2021-07-29 13:09:40,2021-08-04 13:48:18,Michael,Excellent (5),Resolved,,Personal Call,Data Privacy GDPR Resolved Low Finance
T371,Low,South Carolina,Security Gap,Unauthorized access,HR,On Prem Cloud,2021-07-29 18:47:52,2021-07-29 18:50:04,2021-08-13 12:58:07,Robbin,Satisfactory (3),Resolved,,Ticket Portal,Security Gap Unauthorized access Resolved Low HR
T372,High,Pennsylvania,Cyber Security Breach,Spyware,HR,On Prem Server,2021-07-29 18:53:36,2021-07-29 18:55:17,2021-08-16 18:24:43,Sebastian,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Spyware Advised for a risk assessment High HR
T373,High,Ohio,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,2021-07-30 16:44:41,2021-07-30 16:45:02,2021-08-03 17:39:39,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Trojan Attack Advised for a risk assessment High IT
T374,High,New York,Data Privacy,PCI-DSS,Finance,On Prem Server,2021-07-30 20:31:04,2021-08-02 11:14:46,2021-08-05 17:28:01,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy PCI-DSS Advised for a risk assessment High Finance
T375,High,New Jersey,Data Privacy,GDPR,Legal,Vendor Cloud,2021-08-02 10:42:00,2021-08-02 10:45:45,2021-08-04 10:29:13,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Data Privacy GDPR Advised for a risk assessment High Legal
T376,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,2021-08-02 19:12:43,2021-08-02 19:19:00,2021-08-16 18:28:14,Martina,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Firewall Advised for a risk assessment High Marketing
T377,Medium,Massachusetts,Data Leak,Insider Threat,HR,On Prem Cloud,2021-08-04 04:04:44,2021-08-04 12:10:04,2021-09-09 19:53:53,Charlotte,Excellent (5),Resolved,,Personal Call,Data Leak Insider Threat Resolved Medium HR
T378,Low,Florida,Cyber Consultation,Application Offboarding,Legal,On Prem Server,2021-08-04 11:42:11,2021-08-04 11:46:36,2021-09-07 15:11:36,Michael,Satisfactory (3),Resolved,,Ticket Portal,Cyber Consultation Application Offboarding Resolved Low Legal
T379,High,California,Cyber Consultation,Database Security,IT,On Prem Cloud,2021-08-04 13:05:40,2021-08-04 13:37:18,2021-08-13 18:47:32,Sean,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Consultation Database Security Advised for a risk assessment High IT
T38,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-01-27 16:21:56,2021-01-27 16:24:59,2021-06-03 19:36:24,Allan,Excellent (5),Resolved,,Mail,Data Leak Insider Threat Resolved Low Legal
T380,Medium,California,Data Leak,Insider Threat,Manufacturing,On Prem Server,2021-08-04 14:41:33,2021-08-04 14:46:01,2021-08-26 21:48:47,Michael,Excellent (5),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Medium Manufacturing
